report_name	table_name	field_name	report_label	xpos	ypos	field_pos	display_length	field_type	query_display	upper_lower	LABEL_FOREGROUND_COLOR	LABEL_BACKGROUND_COLOR	TEXT_BACKGROUND_COLOR	TEXT_FOREGROUND_COLOR	LABEL_FONT	LABEL_FONT_SIZE	TEXT_FONT	TEXT_FONT_SIZE	READONLY
twilight_member	HELP_COMMENT2	HELP_COMMENT2		25	447	99	10	L	N		red	grey	whilte	blue	Times	17	Times	12	N
twilight_member	HELP_COMMENT3	HELP_COMMENT3		25	467	99	10	L	N		red	grey	whilte	blue	Times	17	Times	12	N
twilight_member	LABEL	COMMUNITY MEMBER	COMMUNITY MEMBER	20	10	99	6	L	N		black	grey	whilte	blue	times	12	times	12	N
twilight_member	LABEL2	WINTER HOME	WINTER HOME	20	240	99	6	L	N		black	grey	whilte	blue	Times	12	Times	12	N
twilight_member	LABEL3	COTTAGE	COTTAGE	20	125	99	10	L	N		black	grey	whilte	blue	Times	12	Times	12	N
twilight_member	LINE	LINE		20	100	99	100	I	N		black	grey	whilte	blue	Times	12	Times	12	N
twilight_member	LINE2	LINE2		20	215	99	100	I	N		black	grey	whilte	blue	Times	12	Times	12	N
twilight_member	LINE3	LINE3		20	360	99	100	I	N		black	grey	whilte	blue	Times	12	Times	12	N
twilight_member	main_house	addr1		20	270	9	35	F	N	UL	black	grey	whilte	blue	Times	12	Times	12	Y
twilight_member	main_house	addr2		350	270	10	35	F	N	UL	black	grey	whilte	blue	Times	12	Times	12	Y
twilight_member	main_house	alt_phone_number		250	330	17	14	F	N	N	black	grey	whilte	blue	Times	12	Times	12	Y
twilight_member	main_house	city		20	300	11	30	F	N	UL	black	grey	grey	blue	Times	12	Times	12	Y
twilight_member	main_house	country		500	300	13	10	F	N	U	black	grey	whilte	blue	Times	12	Times	12	Y
twilight_member	main_house	phone_number		20	330	15	14	F	N	N	black	grey	whilte	blue	Times	12	Times	12	Y
twilight_member	main_house	state		275	300	12	2	F	N	U	black	grey	whilte	blue	Times	12	Times	12	Y
twilight_member	main_house	zip		370	300	14	11	F	N	N	black	grey	whilte	blue	Times	12	Times	12	Y
twilight_member	picture	Cottage Photo		600	190	99	10	P	Y		black	grey	whilte	blue	Times	12	Serif	6	Y
twilight_member	QUERY	twilight_main_query		430	380	99	15	Q	N		black	grey	whilte	blue	Times	12	Times	12	N
twilight_member	TITLE	TITLE		300	10	99	40	T	Y		red	grey	whilte	blue	Times	16	Serif	6	Y
twilight_member	twilight_member	birthdate		580	70	5	8	F	N	N	black	grey	whilte	blue	Times	12	Times	12	N
twilight_member	twilight_member	cell_phone		650	40	3	14	F	N	N	black	grey	whilte	blue	Times	12	Times	12	N
twilight_member	twilight_member	email_address		20	70	4	47	F	Y	N	black	grey	whilte	blue	Times	12	Times	12	N
twilight_member	twilight_member	first_name		20	40	0	20	F	Y	UL	black	grey	whilte	blue	times	12	Times	12	N
twilight_member	twilight_member	last_name		250	40	1	30	F	Y	UL	black	grey	whilte	blue	Times	12	Times	12	Y
twilight_member	twilight_member	suffix		530	40	1	3	F	Y	U	black	grey	whilte	blue	Times	12	Times	12	N
twilight_member	twilight_member	work_phone		365	70	16	14	F	N	N	black	grey	whilte	blue	Times	12	Times	12	N
user	INSERT	users		430	500	18	15	Q	N		black	grey	white	blue	Times	12	Serif	12	N
user	LABEL	ADMIN		20	10	99	6	L	Y		black	grey	white	blue	Times	12	Serif	12	N
user	LINE	LINE		20	100	99	100	I	N		black	grey	white	blue	Times	12	Serif	12	N
user	users	admin		500	40	2	14	F	N	U	black	grey	white	blue	Times	12	Serif	12	N
user	users	family_number		20	40	2	14	F	N	N	black	grey	white	blue	Times	12	Serif	12	N
user	users	passwd		500	20	6	30	F	N	N	black	grey	white	blue	Times	12	Serif	12	N
user	users	userid		20	20	7	32	F	N	N	black	grey	white	blue	Times	12	Serif	12	N
